VOICE_CALL,-58,-58,-54,-50,-48,-46,-42,-38,-36,-34,-32,-30,-28,-26,-25,-24,-23,-22,-21,-19,-18,-17,-16,-15,-14,-12,-10,-8,-6,-3,0
SYSTEM,-58,-58,-54,-50,-48,-46,-42,-38,-36,-34,-32,-30,-28,-26,-25,-24,-23,-22,-21,-19,-18,-17,-16,-15,-14,-12,-10,-8,-6,-6,-6
RING,-58,-58,-54,-50,-48,-46,-42,-38,-36,-34,-32,-30,-28,-26,-25,-24,-23,-22,-21,-19,-18,-17,-16,-15,-14,-12,-10,-8,-6,-3,0
MUSIC,-58,-58,-54,-50,-48,-46,-42,-38,-36,-34,-32,-30,-28,-26,-25,-24,-23,-22,-21,-19,-18,-17,-16,-15,-14,-12,-10,-8,-6,-3,0
ALARM,-58,-58,-54,-50,-48,-46,-42,-38,-36,-34,-32,-30,-28,-26,-25,-24,-23,-22,-21,-19,-18,-17,-16,-15,-14,-12,-10,-8,-6,-3,0
NOTIFICATION,-58,-58,-54,-50,-48,-46,-42,-38,-36,-34,-32,-30,-28,-26,-25,-24,-23,-22,-21,-19,-18,-17,-16,-15,-14,-12,-10,-8,-6,-3,0
BLUETOOTH_SCO,-58,-58,-54,-50,-48,-46,-42,-38,-36,-34,-32,-30,-28,-26,-25,-24,-23,-22,-21,-19,-18,-17,-16,-15,-14,-12,-10,-8,-6,-3,0
ENFORCED_AUDIBLE,-58,-58,-54,-50,-48,-46,-42,-38,-36,-34,-32,-30,-28,-26,-25,-24,-23,-22,-21,-19,-18,-17,-16,-15,-14,-12,-10,-8,-6,-3,0
DTMF,-58,-58,-54,-50,-48,-46,-42,-38,-36,-34,-32,-30,-28,-26,-25,-24,-23,-22,-21,-19,-18,-17,-16,-15,-14,-12,-10,-8,-6,-3,0
TTS,-58,-58,-54,-50,-48,-46,-42,-38,-36,-34,-32,-30,-28,-26,-25,-24,-23,-22,-21,-19,-18,-17,-16,-15,-14,-12,-10,-8,-6,-3,0
